Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_AS6,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z
0.0,0.0140845070422535,0.0031298904538341,0.1643192488262911,-0.6666666666666667,-1.0,-0.9512195121951216,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0140845070422535,0.0031298904538341,0.1643192488262911,-0.6666666666666667,-1.0,-1.1219512195121946,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0140845070422535,0.001564945226917,0.1205007824726134,0.0952380952380953,0.0,-0.1707317073170733,False,False,False,True,False,False,False,False,False,False,True
0.0,0.0140845070422535,0.001564945226917,0.1205007824726134,0.2380952380952381,0.0,0.146341463414634,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0140845070422535,0.0031298904538341,0.162754303599374,-0.5714285714285715,-1.0,-0.7317073170731705,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0140845070422535,0.0031298904538341,0.162754303599374,-0.5714285714285715,-1.0,-0.9268292682926828,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0140845070422535,0.001564945226917,0.162754303599374,-0.5714285714285715,-1.0,-0.8780487804878044,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0140845070422535,0.0031298904538341,0.162754303599374,0.0,0.0,0.1951219512195118,False,False,True,False,False,False,False,False,False,False,True
0.0,0.0140845070422535,0.0031298904538341,0.162754303599374,0.0952380952380953,0.0,0.2439024390243901,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.5714285714285715,-1.0,-0.3658536585365852,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.5714285714285715,-1.0,-0.8048780487804877,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.0952380952380953,0.0,0.0487804878048778,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.0952380952380953,0.0,-0.2926829268292684,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.5714285714285715,-1.0,-0.1951219512195123,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.5714285714285715,-1.0,-0.5609756097560975,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0344287949921752,0.0062597809076682,0.1643192488262911,-0.0952380952380953,0.0,0.121951219512195,False,True,False,False,False,False,False,False,False,False,True
